2018-12-13 14:32:39,749 | Minor FoodIT | INFO | Exporting data to E:\Aloha\BK_NEWDATA\EMP.DBF
2018-12-13 14:32:45,952 | Minor FoodIT | INFO | Finished
2018-12-13 14:32:56,079 | Minor FoodIT | INFO | ############# Start Running
2018-12-13 14:32:56,079 | Minor FoodIT | INFO | Load configuration file config.ini
2018-12-13 14:32:56,080 | Minor FoodIT | INFO | MunuLink version 12.0
2018-12-13 14:32:56,080 | Minor FoodIT | INFO | Aloha version 12.3
2018-12-13 14:32:56,080 | Minor FoodIT | INFO | Exporting data to E:\Aloha\BK_NEWDATA\EMP.DBF
2018-12-13 14:32:58,021 | Minor FoodIT | INFO | Record updated ,ID=332115
2018-12-13 14:32:58,223 | Minor FoodIT | INFO | Record updated ,ID=332120
2018-12-13 14:32:58,443 | Minor FoodIT | INFO | Record updated ,ID=332122
2018-12-13 14:32:58,689 | Minor FoodIT | INFO | Record updated ,ID=333606
2018-12-13 14:32:58,935 | Minor FoodIT | INFO | Record updated ,ID=333607
2018-12-13 14:32:59,113 | Minor FoodIT | INFO | Record updated ,ID=333608
2018-12-13 14:32:59,347 | Minor FoodIT | INFO | Record updated ,ID=333610
2018-12-13 14:32:59,529 | Minor FoodIT | INFO | Record updated ,ID=333611
2018-12-13 14:32:59,696 | Minor FoodIT | INFO | Record updated ,ID=333612
2018-12-13 14:32:59,928 | Minor FoodIT | INFO | hasNewRecordCreated is False
2018-12-13 14:33:01,969 | Minor FoodIT | INFO | Finished
2018-12-13 14:33:10,869 | Minor FoodIT | INFO | ############# Start Running
2018-12-13 14:33:10,869 | Minor FoodIT | INFO | Load configuration file config.ini
2018-12-13 14:33:10,870 | Minor FoodIT | INFO | MunuLink version 12.0
2018-12-13 14:33:10,870 | Minor FoodIT | INFO | Aloha version 12.3
2018-12-13 14:33:10,871 | Minor FoodIT | INFO | Exporting data to E:\Aloha\BK_NEWDATA\EMP.DBF
2018-12-13 14:33:13,071 | Minor FoodIT | INFO | Record updated ,ID=332115
2018-12-13 14:33:13,326 | Minor FoodIT | INFO | Record updated ,ID=332120
2018-12-13 14:33:13,530 | Minor FoodIT | INFO | Record updated ,ID=332122
2018-12-13 14:33:13,710 | Minor FoodIT | INFO | Record updated ,ID=333606
2018-12-13 14:33:13,862 | Minor FoodIT | INFO | Record updated ,ID=333607
2018-12-13 14:33:14,021 | Minor FoodIT | INFO | Record updated ,ID=333608
2018-12-13 14:33:14,220 | Minor FoodIT | INFO | Record updated ,ID=333610
2018-12-13 14:33:14,435 | Minor FoodIT | INFO | Record updated ,ID=333611
2018-12-13 14:33:14,589 | Minor FoodIT | INFO | Record updated ,ID=333612
2018-12-13 14:33:14,806 | Minor FoodIT | INFO | hasNewRecordCreated is False
2018-12-13 14:33:17,236 | Minor FoodIT | INFO | Finished
2018-12-13 14:35:12,473 | Minor FoodIT | INFO | ############# Start Running
2018-12-13 14:35:12,474 | Minor FoodIT | INFO | Load configuration file config.ini
2018-12-13 14:35:12,475 | Minor FoodIT | INFO | MunuLink version 12.0
